Item_Identifier,Item_Weight
FDX33,9.195
DRJ35,10.1
FDO19,17.7
FDP13,8.1
FDP24,20.6
NCQ42,20.35
FDU14,17.75
FDT32,19.0
FDK20,12.6
FDU13,8.355
FDE58,18.5
FDZ01,8.975
FDM08,10.1
FDS58,9.285
FDZ26,11.6
FDY51,12.5
FDL34,16.0
DRG39,14.15
NCG43,20.2
FDT01,13.65
DRF01,5.655
FDF53,20.75
FDS45,5.175
FDR20,20.0
FDD38,16.75
DRF15,18.35
FDH32,12.8
NCJ42,19.75
NCL18,18.85
FDW22,9.695
FDE32,20.7
FDJ08,11.1
FDG38,8.975
NCE31,7.67
FDS19,13.8
FDU11,4.785
FDL02,20.0
DRK23,8.395
FDO27,6.175
FDB16,8.21
NCB18,19.6
NCL53,7.5
FDR16,5.845
NCQ05,11.395
FDF44,7.17
FDK15,10.8
FDU32,8.785
FDG09,20.6
FDE39,7.89
FDU56,16.85
NCH55,16.35
NCQ02,12.6
NCU17,5.32
FDV37,13.0
NCI43,19.85
NCQ53,17.6
NCT18,14.6
FDM14,13.8
FDX57,17.25
NCV05,10.1
FDX39,14.3
FDA23,9.8
NCV06,11.3
DRI39,13.8
FDH21,10.395
FDR26,20.7
FDG21,17.35
NCQ38,16.35
FDN20,19.35
NCN29,15.2
FDI28,14.3
FDZ28,20.0
FDU10,10.1
FDS28,8.18
FDJ03,12.35
FDQ51,16.0
NCK06,5.03
FDY09,15.6
FDA10,20.35
FDO34,17.7
FDF40,20.25
FDY02,8.945
FDB59,18.25
FDO15,16.75
FDB38,19.5
FDY26,20.6
DRE13,6.28
FDD50,18.85
FDV56,16.1
NCR29,7.565
FDZ04,9.31
FDU16,19.25
FDV07,9.5
DRC12,17.85
DRK39,7.02
DRB25,12.3
FDK26,5.46
FDM52,15.1
NCO06,19.25
FDK34,13.35
FDO45,13.15
FDF08,14.3
FDH58,12.3
FDS03,7.825
FDE02,8.71
NCZ06,19.6
FDR23,15.85
FDY35,17.6
FDG44,6.13
FDQ23,6.55
FDY22,16.5
NCN41,17.0
FDH20,16.1
FDB09,16.25
FDA09,13.35
FDP03,5.15
FDO13,7.865
DRD49,9.895
NCP50,17.35
DRP35,18.85
FDN23,6.575
FDS44,12.65
NCI54,15.2
FDA21,13.65
FDE35,7.06
DRJ24,11.8
NCO54,19.5
FDV12,16.7
FDQ31,5.785
DRG15,6.13
FDT21,7.42
FDT10,16.7
FDX26,17.7
FDN02,16.5
DRE27,11.85
FDS27,10.195
FDL46,20.35
NCV30,20.2
FDA51,8.05
FDM46,7.365
FDK02,12.5
FDJ57,7.42
NCB31,6.235
FDT50,6.75
NCY41,16.75
FDJ60,19.35
FDS21,19.85
FDS47,16.75
DRM48,15.2
FDW46,13.0
FDW27,5.86
FDU40,20.85
FDX35,5.035
FDD51,11.15
FDY27,6.38
NCN06,8.39
FDR57,5.675
FDR19,13.5
FDJ33,8.895
FDA52,16.2
FDR27,15.1
NCK42,7.475
NCI31,20.0
FDX16,17.85
NCA05,20.75
DRG51,12.1
NCR30,20.6
DRM37,15.35
FDN56,5.46
FDC09,15.5
NCZ41,19.85
FDP19,11.5
DRL11,10.5
FDO36,19.7
FDF21,10.3
FDS51,13.35
FDE45,12.1
FDX50,20.1
FDQ21,21.25
DRL37,15.5
FDZ39,19.7
FDH10,21.0
NCO18,13.15
FDD05,19.35
FDZ23,17.75
FDX27,20.7
FDR14,11.65
FDO01,21.1
FDZ56,16.25
NCL55,12.15
FDD59,10.5
DRF23,4.61
FDT49,7.0
FDH22,6.405
FDT34,9.3
FDB39,11.6
FDQ22,16.75
NCN43,12.15
FDG57,14.7
NCC43,7.39
FDP01,20.75
FDF52,9.3
FDZ33,10.195
FDW56,7.68
FDC26,10.195
FDF34,9.3
FDD04,16.0
NCJ31,19.2
FDO57,20.75
NCY05,13.5
DRK11,8.21
NCL30,18.1
DRJ39,20.25
FDZ44,8.185
FDV46,18.2
DRG03,14.5
FDU37,9.5
FDI57,19.85
FDM45,8.655
FDB26,14.0
NCN26,10.85
FDO38,17.25
FDG31,12.15
FDI45,13.1
FDE17,20.1
NCG06,16.35
NCP29,8.42
FDM02,12.5
FDR46,16.85
FDQ49,20.2
FDS16,15.15
FDU15,13.65
FDO09,13.5
FDB40,17.5
DRN11,7.85
FDE22,9.695
FDF04,17.5
FDE41,9.195
NCD54,21.1
FDN34,15.6
FDL39,16.1
FDH33,12.85
FDA34,11.5
DRH23,14.65
FDD21,10.3
FDK60,16.5
FDY12,9.8
FDP11,15.85
NCF54,18.0
FDV43,16.0
DRE12,4.59
NCW42,18.2
FDI41,18.5
FDV22,14.85
FDQ46,7.51
FDC44,15.6
FDB22,8.02
FDV23,11.0
FDL33,7.235
FDW48,18.0
NCM06,7.475
FDT46,11.35
FDT38,18.7
FDO40,17.1
FDP12,9.8
FDG16,15.25
FDY11,6.71
FDL38,13.8
FDY60,10.5
FDW40,14.0
FDY08,9.395
NCM42,6.13
NCD07,9.1
FDD09,13.5
DRH59,10.8
DRN36,15.2
DRA24,19.35
FDG34,11.5
FDK22,9.8
FDO33,14.75
FDS10,19.2
FDU34,18.25
FDA26,7.855
FDP38,10.1
FDA50,16.25
FDY10,17.6
FDT19,7.59
NCV54,11.1
FDA28,16.1
FDB05,5.155
FDY52,6.365
FDR48,11.65
FDY15,18.25
FDM51,11.8
FDW09,13.65
FDV44,8.365
FDZ47,20.7
NCP43,17.75
FDL26,18.0
DRM35,9.695
DRD15,10.6
FDV04,7.825
NCN05,8.235
FDJ02,17.2
NCK17,11.0
FDO58,19.6
FDG33,5.365
NCZ05,8.485
NCP54,15.35
FDV01,19.2
FDF57,14.5
FDA02,14.0
DRJ37,10.8
NCP55,14.65
FDK38,6.65
NCZ30,6.59
DRY23,9.395
NCG19,20.25
FDQ01,19.7
FDL44,18.25
DRM23,16.6
NCE18,10.0
DRZ24,7.535
FDT48,4.92
DRG11,6.385
FDP60,17.35
FDE05,10.895
FDC32,18.35
FDJ22,18.75
NCH18,9.3
DRC13,8.26
FDG47,12.8
NCT05,10.895
FDN50,16.85
FDU60,20.0
FDX02,16.0
DRF27,8.93
FDQ59,9.8
NCZ53,9.6
FDD34,7.945
FDY43,14.85
FDG46,8.63
FDN44,13.15
FDD32,17.7
FDA56,9.21
FDT13,14.85
NCY29,13.65
NCA42,6.965
FDG26,18.85
FDH24,20.7
FDT52,9.695
FDT04,17.25
NCL54,12.6
FDW50,13.1
FDQ32,17.85
FDE29,8.905
FDB37,20.25
FDN46,7.21
FDV28,16.1
FDV40,17.35
FDZ57,10.0
FDY46,18.6
FDX45,16.75
FDB33,17.75
FDT58,9.0
NCL31,7.39
FDJ44,12.3
FDS50,17.0
FDA49,19.7
FDO50,16.25
DRK13,11.8
FDI20,19.1
FDM36,11.65
FDN12,15.6
FDG17,6.865
FDM32,20.5
FDC51,10.895
FDF16,7.3
FDI46,9.5
FDZ21,17.6
DRF25,9.0
FDH05,14.35
FDD52,18.25
FDR55,12.15
FDP04,15.35
FDQ14,9.27
DRN59,15.0
NCR06,12.5
FDB58,10.5
NCV41,14.35
FDW19,12.35
FDO56,10.195
FDN10,11.5
FDY20,12.5
FDV34,10.695
NCX18,14.15
FDT12,6.215
FDD57,18.1
FDK45,11.65
FDZ48,17.75
FDZ31,15.35
FDL21,15.85
FDC39,7.405
FDP45,15.7
FDC56,7.72
FDE59,12.15
FDB04,11.35
NCK05,20.1
FDR03,15.7
FDC59,16.7
DRB13,6.115
NCE54,20.7
FDC10,9.8
NCL29,9.695
FDM57,11.65
FDZ36,6.035
FDX10,6.385
FDO46,9.6
FDD16,20.5
FDY44,14.15
DRH51,17.6
FDI50,8.42
FDB60,9.3
FDA20,6.78
DRF37,17.25
FDJ26,15.3
FDZ25,15.7
FDZ58,17.85
NCG18,15.3
FDH50,15.0
DRO35,13.85
FDP52,18.7
FDC05,13.1
NCA41,16.75
FDX56,17.1
NCP02,7.105
FDZ49,11.0
NCJ17,7.68
FDP48,7.52
FDI53,8.895
FDW02,4.805
FDO48,15.0
NCR53,12.15
FDF56,16.7
FDL57,15.1
FDV52,20.7
NCS41,12.85
FDF12,8.235
FDM13,6.425
NCS42,8.6
FDD47,7.6
DRE03,19.6
FDE20,11.35
FDI33,16.5
NCT06,17.1
FDD10,20.6
FDK52,18.25
FDJ36,14.5
NCK18,9.6
FDB08,6.055
FDX43,5.655
FDU58,6.61
NCT29,12.6
NCB43,20.2
FDR37,16.5
FDG56,13.3
FDL13,13.85
FDQ03,15.0
NCC55,10.695
FDA25,16.5
FDV33,9.6
FDX47,6.55
FDB02,9.695
FDI56,7.325
FDQ08,15.7
DRJ49,6.865
FDP26,7.785
FDO32,6.36
FDR34,17.0
FDU59,5.78
FDN31,11.5
FDC03,8.575
FDL14,8.115
FDP39,12.65
FDT11,5.94
FDU48,18.85
NCP06,20.7
FDT45,15.85
FDE56,17.25
FDZ34,6.695
NCM54,17.7
FDV24,5.635
FDD46,6.035
FDQ39,14.8
FDE11,17.7
NCU54,8.88
FDO60,20.0
NCS06,7.935
FDQ55,13.65
NCO02,11.15
FDB12,11.15
FDT40,5.985
NCO05,7.27
FDR32,6.78
FDM04,9.195
FDH08,7.51
FDZ08,12.5
FDU03,18.7
FDV08,7.35
FDY49,17.2
DRK47,7.905
NCE06,5.825
DRI47,14.7
FDR35,12.5
FDK03,12.6
FDN48,13.35
FDZ59,6.63
FDL09,19.6
FDL03,19.25
NCG07,12.3
FDP22,14.65
FDL45,15.6
FDC45,17.0
FDI40,11.5
FDQ11,5.695
FDQ52,17.0
FDJ27,17.7
NCM18,13.0
FDT26,18.85
DRD60,15.7
NCH07,13.15
FDP44,16.5
FDI48,11.85
NCF06,6.235
FDT24,12.35
FDK08,9.195
FDS11,7.05
DRE15,13.35
FDX21,7.05
NCI42,18.75
FDX37,16.2
FDX14,13.1
FDM09,11.15
NCW54,7.5
FDF47,20.85
FDW12,8.315
FDW24,6.8
DRD01,12.1
FDN25,7.895
FDP20,19.85
FDR45,10.8
FDZ45,14.1
FDB23,19.2
FDC41,15.6
NCM26,20.5
FDW35,10.6
FDK40,7.035
NCL42,18.85
FDC33,8.96
FDY04,17.7
NCG30,20.2
NCH29,5.51
FDV20,20.2
NCM29,11.5
FDD53,16.2
FDI44,16.1
FDU20,19.35
NCP41,16.6
FDS01,11.6
FDJ28,12.3
FDH44,19.1
NCY54,8.43
DRA59,8.27
FDS55,7.02
DRG49,7.81
NCN19,13.1
FDH09,12.6
FDS25,6.885
NCI30,20.25
FDM33,15.6
NCA53,11.395
FDA04,11.3
FDS56,5.785
FDT07,5.82
FDA38,5.44
FDM56,16.7
NCW18,15.1
FDQ44,20.5
FDQ34,10.85
FDN08,7.72
FDK10,5.785
FDZ10,17.85
DRG48,5.78
NCH43,8.42
FDD35,12.15
FDR01,5.405
FDS23,4.635
FDJ53,10.5
FDA32,14.0
FDX01,10.1
FDA48,12.1
FDI09,20.75
DRF13,12.1
FDK25,11.6
FDC20,10.65
FDW32,18.35
FDQ19,7.35
FDV50,14.3
DRG37,16.2
FDE53,10.895
FDS08,5.735
FDG22,17.6
FDJ50,8.645
FDV35,19.5
DRL35,15.7
FDS24,20.85
FDS13,6.465
FDX59,10.195
FDL36,15.1
DRJ11,9.5
NCW17,18.0
DRH36,16.2
NCA17,20.6
FDG41,8.84
FDR12,12.6
NCN14,19.1
NCS38,8.6
FDQ16,19.7
FDS40,15.35
FDV31,9.8
NCD42,16.5
DRF60,10.8
FDP34,12.85
FDI02,15.7
FDG50,7.405
FDV48,9.195
FDH02,7.27
NCD43,8.85
FDE46,18.6
FDR40,9.1
DRE48,8.43
FDV60,20.2
FDV16,7.75
FDY19,19.75
FDD41,6.765
NCK07,10.65
FDZ60,20.5
FDW47,15.0
FDR56,15.5
FDX58,13.15
DRH25,18.7
FDS04,10.195
FDK16,9.065
NCU42,9.0
FDS37,7.655
FDS57,15.5
FDI52,18.7
FDG40,13.65
FDU49,19.5
NCM30,19.1
DRO47,10.195
NCY06,15.25
NCL41,12.35
FDM58,16.85
FDW45,18.0
FDI07,12.35
DRL47,19.7
FDW01,14.5
NCF07,9.0
FDL24,10.3
FDD20,14.15
FDF09,6.215
FDY45,17.5
FDX49,4.615
FDE26,9.3
FDD56,15.2
FDQ13,11.1
DRD25,6.135
FDT16,9.895
NCB54,8.76
FDA31,7.1
FDM12,16.7
FDT03,21.25
FDB49,8.3
FDE47,14.15
FDU23,12.15
NCA30,19.0
FDH41,9.0
FDS43,11.65
FDP37,15.6
FDJ09,15.0
FDX34,6.195
DRD27,18.75
FDI12,9.395
FDQ33,13.35
FDH34,8.63
NCX30,16.7
FDB20,7.72
NCK29,5.615
DRL60,8.52
FDV09,12.1
DRJ23,18.35
FDQ26,13.5
NCA06,20.5
FDJ07,7.26
FDP56,8.185
FDQ12,12.65
FDF26,6.825
FDA11,7.75
FDW38,5.325
FDI21,5.59
FDH12,9.6
FDC21,14.6
FDD02,16.6
FDL28,10.0
FDR10,17.6
FDR15,9.3
FDQ40,11.1
FDS34,19.35
FDT56,16.0
NCX06,17.6
DRM59,5.88
FDW34,9.6
FDU24,6.78
FDX11,16.0
FDF35,15.0
FDD22,10.0
FDT60,12.0
NCQ06,13.0
FDW37,19.2
FDY33,14.5
FDF17,5.19
FDU22,12.35
NCP53,14.75
FDF29,15.1
FDI10,8.51
FDR09,18.25
DRH03,17.25
NCJ05,18.7
FDO03,10.395
FDM21,20.2
FDD26,8.71
FDO39,6.985
FDX51,9.5
FDC38,15.7
FDP07,18.2
FDK27,11.0
FDP31,21.1
NCO07,9.06
NCL05,19.6
FDM10,18.25
FDD11,12.85
FDN45,19.35
FDW39,6.69
FDJ04,18.0
NCT42,5.88
FDM25,10.695
FDD45,8.615
FDK56,9.695
NCU18,15.1
DRQ35,9.3
FDJ48,11.3
FDK09,15.2
FDC57,20.1
NCN42,20.25
FDT55,13.6
FDQ57,7.275
FDM34,19.0
DRD12,6.96
FDJ16,9.195
FDZ12,9.17
FDI22,12.6
NCC07,19.6
FDM16,8.155
FDT36,12.3
FDH38,6.425
FDC16,11.5
FDW26,11.8
FDT33,7.81
FDU31,10.5
DRJ01,6.135
NCF43,8.51
FDY47,8.6
NCS53,14.5
DRB24,8.785
FDE23,17.6
FDN21,18.6
DRC25,5.73
FDW60,5.44
NCQ18,15.75
NCE30,16.0
FDW25,5.175
NCY17,18.2
NCS18,12.65
FDZ40,8.935
FDB32,20.6
FDG10,6.63
FDF38,11.8
FDY57,20.2
FDY16,18.35
DRH49,19.7
FDA22,7.435
FDV03,17.6
FDP27,8.155
FDZ20,16.1
FDZ37,8.1
FDL10,8.395
FDF33,7.97
FDQ27,5.19
NCQ29,12.0
NCI55,18.6
FDD14,20.7
NCD18,16.0
NCE55,8.92
NCQ43,17.75
FDX48,17.75
DRF48,5.73
FDU51,20.2
NCC19,6.57
NCO29,11.15
FDX55,15.1
FDZ19,6.425
FDY36,12.3
FDL16,12.85
NCV53,8.27
FDA35,14.85
FDX24,8.355
NCS05,11.5
FDK04,7.36
FDI58,7.64
FDJ45,17.75
FDW21,5.34
NCZ17,12.15
FDG58,10.695
FDI60,7.22
FDW52,14.0
FDN38,6.615
FDU39,18.85
FDR25,17.0
FDM44,12.5
DRM47,9.3
NCA29,10.5
NCJ43,6.635
FDW15,15.35
FDO20,12.85
FDJ56,8.985
NCR50,20.2
FDN28,5.88
FDY13,12.1
NCM17,7.93
FDB52,17.75
FDS07,12.35
FDO31,6.76
FDP57,17.5
FDO21,11.6
FDW58,20.75
NCL07,13.85
FDU12,15.5
FDO52,11.6
FDI26,5.94
FDO25,6.3
FDV47,17.1
FDF02,16.2
DRG13,17.25
FDD36,13.3
FDI15,13.8
NCN17,11.0
FDN24,14.1
FDG60,20.35
DRH11,5.98
FDJ15,11.35
DRF51,15.75
FDO37,8.06
FDW10,21.2
DRN37,9.6
NCN53,5.175
FDA37,7.81
FDU35,6.44
FDS59,14.8
FDL15,17.85
FDB28,6.615
DRI11,8.26
FDY37,17.0
FDJ10,5.095
FDW08,12.1
FDP58,11.1
FDF58,13.3
FDB47,8.8
FDV14,19.85
FDC23,18.0
FDU33,7.63
DRO59,11.8
FDD48,10.395
NCK30,14.85
FDW33,9.395
FDT37,14.15
FDS02,10.195
FDP46,15.35
NCC18,19.1
FDU07,11.1
FDE21,12.8
FDX28,6.325
FDY40,15.5
FDX38,10.5
FDI38,13.35
NCX53,20.1
NCN30,16.35
FDK33,17.85
FDU26,16.7
FDR39,20.35
NCG55,16.25
FDZ43,11.0
NCC54,17.75
FDR33,7.31
NCJ54,9.895
FDT14,10.695
DRL49,13.15
FDO44,12.6
NCT30,9.1
FDS20,8.85
FDA07,7.55
NCW53,18.35
FDZ51,11.3
NCN54,20.35
FDR11,10.5
FDR51,9.035
NCR42,9.105
FDX04,19.6
FDN03,9.8
FDM03,12.65
FDT23,7.72
FDB50,13.0
FDE50,19.7
FDK55,18.5
NCG54,12.1
FDJ52,7.145
FDA57,18.85
FDA58,9.395
DRB01,7.39
NCZ29,15.0
FDF50,4.905
NCK31,10.895
FDP40,4.555
FDO11,8.0
FDF39,14.85
FDQ58,7.315
FDA55,17.2
FDA19,7.52
FDQ36,7.855
FDF59,12.5
FDJ46,11.1
FDX31,20.35
FDP23,6.71
FDC47,15.0
FDC22,6.89
FDD39,16.7
DRC36,13.0
DRE01,10.1
NCS30,5.945
FDH47,13.5
FDP08,20.5
FDC14,14.5
NCY42,6.38
FDE44,14.65
DRE37,13.5
FDE40,15.6
FDJ12,8.895
FDH48,13.5
FDV36,18.7
NCW41,18.0
FDS35,9.3
FDX12,18.2
NCY53,20.0
NCH42,6.86
FDH46,6.935
FDW36,11.15
FDV26,20.25
DRI03,6.03
NCL06,14.65
NCO14,9.6
FDI08,18.2
FDS14,7.285
NCK53,11.6
FDH56,9.8
NCQ30,7.725
FDG32,19.85
FDY48,14.0
NCU06,17.6
FDM38,5.885
FDA14,16.1
FDT15,12.15
NCJ19,18.6
NCI06,11.3
FDV19,14.85
FDQ47,7.155
FDC04,15.6
FDR31,6.46
NCW06,16.2
FDO16,5.48
DRN35,8.01
FDV55,17.75
FDB03,17.75
FDC34,16.0
FDM50,13.0
FDD23,9.5
FDX52,11.5
FDO12,15.75
NCJ06,20.1
FDT35,19.85
FDG05,11.0
FDE28,9.5
FDY50,5.8
FDE57,9.6
FDC11,20.5
FDE14,13.65
NCT41,15.7
FDK32,16.25
DRI23,18.85
DRL59,16.75
FDI34,10.65
FDC58,10.195
FDT02,12.6
FDH04,6.115
FDR07,21.35
FDK46,9.6
NCM05,6.825
FDR22,19.35
FDH60,19.7
FDY39,5.305
FDZ07,15.1
NCX05,15.2
NCF30,17.0
FDN49,17.25
DRC24,17.85
FDS60,20.85
FDZ02,6.905
FDW16,17.35
NCQ17,10.3
NCO53,16.2
FDU47,12.8
FDK50,7.96
NCE42,21.1
FDZ09,17.6
NCU30,5.11
DRG36,14.15
FDX03,15.85
FDI24,10.3
NCD31,12.1
NCV29,11.8
NCP17,19.35
FDN60,15.1
DRM49,6.11
FDY14,10.3
DRI59,9.5
FDY01,11.8
FDJ40,13.6
FDQ15,20.35
DRJ47,18.25
FDW23,5.765
FDC37,15.5
NCO41,12.5
FDU19,8.77
FDD33,12.85
FDT51,11.65
FDY31,5.98
NCS29,9.0
FDB10,10.0
NCU29,7.685
NCP14,8.275
FDC48,9.195
FDM27,12.35
FDW14,8.3
FDS36,8.38
NCA18,10.1
FDI36,12.5
FDI05,8.35
FDE09,8.775
NCO42,21.25
FDS22,16.85
FDQ25,8.63
FDP21,7.42
FDQ24,15.7
FDN40,5.88
FDH52,9.42
NCV18,6.775
FDQ04,6.4
FDS39,6.895
FDU27,18.6
FDT47,5.26
FDP15,15.2
FDW55,12.6
FDU45,15.6
DRG25,10.5
FDN51,17.85
FDU57,8.27
FDB46,10.5
NCX17,21.25
FDW59,13.15
NCT17,10.8
